"","X.5","X.4","X.3","X.2","PLOT_ID","X.1","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Ano_IFN2","EXEC_TIME","AA_RAINFALL","AM_TEMPERATURE","MARTONNE"
"11",11,11,11,4789,"19_2197",38244,26,88163.1319444445,226.353696841807,26,NA,NA,88163.1319444445,NA,NA,226.353696841807,NA,NA,4949.54189133229,1602.15976045841,8.81631319444444,226.353696841807,0,0,31.8309886183791,95.4929658551372,84.8826363156775,14.1471060526129,0,0,0,21.86640625,7.078125,22.2692078257737,7.5,2112,19,2197,NA,940728,1,11,4,0,3,"S",940729,1,459,2,"0459440",474,4541,94,60,0,0,0,0,10,10,5,5,1,1,40,40,26,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,25,NA,NA,NA,NA,NA,2,2,"W",18,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,"01",357,NA,9,NA,"IFN2",21,60,26,19940728,1994,9,284.7,13.8,11.9621848739496
"12",12,12,12,4791,"19_2200",38249,26,66971.75,732.112738222719,26,NA,NA,66971.75,NA,NA,732.112738222719,NA,NA,7636.25416954914,3151.26787321953,6.697175,732.112738222719,0,509.295817894065,222.816920328653,0,0,0,0,0,0,10.4304347826087,4.30434782608696,10.7922476201972,6,2115,19,2200,NA,940728,1,11,4,1,2,"S",940729,1,459,2,"0459439",472,4540,94,60,0,0,0,0,11,11,5,5,1,1,40,40,26,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,11,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,2,"W",20,NA,NA,NA,4,1,1,NA,1,NA,0,0,NA,NA,"P204",329,NA,9.5,NA,"IFN2",11,60,26,19940728,1994,9,284.7,13.8,11.9621848739496
"13",13,13,13,4811,"19_241",38336,26,64173.8125,668.45076098596,26,NA,NA,64173.8125,NA,NA,668.45076098596,NA,NA,7195.39497718459,3756.05665696873,6.41738125,668.45076098596,0,509.295817894065,159.154943091895,0,0,0,0,0,0,10.7642857142857,5.61904761904762,11.0560315363757,7.5,1439,19,241,NA,930426,3,9,4,1,2,"S",930506,3,460,3,"0460444",485,4540,92,37,1,1,0,0,9,9,4,5,9,1,0,60,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,15,NA,NA,NA,NA,NA,3,2,"W",20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,"P204",314,NA,7.25,NA,"IFN2",20,37,26,19930426,1993,10,284.7,13.8,11.9621848739496
"14",14,14,14,4812,"19_242",38337,26,12846.5,63.6619772367581,26,NA,NA,12846.5,NA,NA,63.6619772367581,NA,NA,1005.85924034078,397.887357729738,1.28465,63.6619772367581,0,0,31.8309886183791,31.8309886183791,0,0,0,0,0,15.8,6.25,16.0290361531815,6.25,1440,19,242,NA,930426,3,2,2,0,1,"S",930506,3,460,3,"0460444",485,4542,92,901,5,5,0,0,12,12,4,4,9,1,0,20,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,3,3,"W",15,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",346,NA,4.75,NA,"IFN2",20,901,26,19930426,1993,10,284.7,13.8,11.9621848739496
"15",15,15,15,4831,"19_248",38347,26,25036.5625,109.64007190775,26,NA,NA,25036.5625,NA,NA,109.64007190775,NA,NA,1844.60579043507,848.826363156775,2.50365625,109.64007190775,0,0,95.4929658551372,0,14.1471060526129,0,0,0,0,16.8241935483871,7.74193548387097,17.0513101379148,7.74193548387097,1445,19,248,NA,930427,3,4,4,0,4,"S",930506,3,460,3,"0460445",486,4542,92,901,1,1,0,0,11,12,4,5,9,1,0,20,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,1,"W",16,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",32,NA,8,NA,"IFN2",25,901,26,19930427,1993,10,284.7,13.8,11.9621848739496
"16",16,16,16,4838,"19_259",38361,26,130199.604166667,516.369370920372,26,NA,NA,130199.604166667,NA,NA,516.369370920372,NA,NA,8786.59073045223,4168.09112075108,13.0199604166667,516.369370920372,0,127.323954473516,95.4929658551372,222.816920328653,42.4413181578388,28.2942121052258,0,0,0,17.016095890411,8.07191780821918,17.9175924683818,9.91379310344828,1455,19,259,NA,930427,3,16,4,1,2,"S",930506,3,460,3,"0460445",488,4540,92,191,1,1,0,0,12,12,4,4,9,1,0,50,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",179,NA,6.75,NA,"IFN2",25,191,26,19930427,1993,10,284.7,13.8,11.9621848739496
"17",17,17,17,4841,"19_262",38366,26,337099.645833333,1428.8577113139,26,NA,NA,337099.645833333,NA,NA,1428.8577113139,NA,NA,23995.7907699651,12205.4157468918,33.7099645833333,1428.8577113139,0,254.647908947033,541.126806512444,477.464829275686,155.618166578742,0,0,0,0,16.7936881188119,8.54207920792079,17.3316422482061,9.625,1457,19,262,NA,930427,3,45,4,1,1,"S",930507,3,460,3,"0460446",489,4539,92,191,1,1,0,0,10,10,3,3,9,1,0,80,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,26,44,NA,NA,NA,NA,NA,3,5,"G",19,NA,NA,NA,1,1,1,NA,2,NA,0,0,NA,NA,"01",263,NA,4,NA,"IFN2",30,191,26,19930427,1993,10,284.7,13.8,11.9621848739496
"18",18,18,18,4852,"19_270",38380,26,39768.7638888889,91.956189341984,26,NA,NA,39768.7638888889,NA,NA,91.956189341984,NA,NA,2133.73727038534,870.047022235694,3.97687638888889,91.956189341984,0,0,0,63.6619772367581,14.1471060526129,14.1471060526129,0,0,0,23.2038461538462,9.46153846153846,23.4658139231718,9.46153846153846,356,19,270,NA,930226,3,4,4,0,3,"S",930310,3,460,3,"0460447",492,4542,92,901,1,1,0,0,11,11,4,5,9,1,0,25,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,45,NA,NA,NA,NA,NA,2,2,"W",19,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",210,NA,11.5,NA,"IFN2",25,901,26,19930226,1993,10,284.7,13.8,11.9621848739496
"19",19,19,19,4853,"19_271",38381,26,341981.548611111,1414.71060526129,26,NA,NA,341981.548611111,NA,NA,1414.71060526129,NA,NA,24006.0474218532,15427.4191503744,34.1981548611111,1414.71060526129,0,254.647908947033,445.633840657307,572.957795130823,141.471060526129,0,0,0,0,16.968875,10.905,17.5437565461334,11.75,1462,19,271,NA,930427,3,44,4,3,3,"S",930507,3,460,3,"0460315",492,4544,92,901,1,1,0,0,11,11,4,4,9,1,0,60,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,45,15,NA,NA,NA,NA,3,3,"W",20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",368,NA,5.5,NA,"IFN2",25,901,26,19930427,1993,10,284.7,13.8,11.9621848739496
"20",20,20,20,4857,"19_274",38385,26,134424.631944444,484.538382301992,26,NA,NA,134424.631944444,NA,NA,484.538382301992,NA,NA,8956.7096807349,3745.44632742927,13.4424631944444,484.538382301992,0,0,190.985931710274,222.816920328653,70.7355302630646,0,0,0,0,18.4850364963504,7.72992700729927,18.7944834855617,9.36206896551724,358,19,274,NA,930226,3,18,4,1,4,"S",930310,3,460,3,"0460447",493,4541,92,901,1,1,0,0,10,10,3,4,9,1,0,60,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,15,NA,NA,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",175,NA,4.75,NA,"IFN2",25,901,26,19930226,1993,10,284.7,13.8,11.9621848739496
"21",21,21,21,4897,"19_561",38848,26,182666.675833333,234.559018352322,26,NA,NA,182666.675833333,NA,NA,234.559018352322,NA,NA,7167.85056170015,2532.26124788745,18.2666675833333,234.559018352322,0,0,0,63.6619772367581,42.4413181578388,28.2942121052258,42.4413181578388,42.4413181578388,15.278874536822,30.558835946924,10.7958383594692,31.4889844459212,12.5875706214689,1557,19,561,NA,930428,3,16,4,2,3,"S",930513,3,485,3,"0485355",463,4529,92,305,7,7,0,0,8,8,4,5,9,1,0,60,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,35,NA,NA,NA,NA,NA,NA,NA,NA,26,37,15,45,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,1,NA,0,NA,1,0,NA,"M912","M904",268,NA,9,NA,"IFN2",35,305,26,19930428,1993,10,284.7,13.8,11.9621848739496
"22",22,22,22,4898,"19_564",38852,26,7482.25,31.8309886183791,26,NA,NA,7482.25,NA,NA,31.8309886183791,NA,NA,550.676103097958,175.070437401085,0.748225,31.8309886183791,0,0,31.8309886183791,0,0,0,0,0,0,17.3,5.5,17.3,5.5,1560,19,564,NA,930429,3,1,1,0,2,"S",930513,3,485,3,"0485213",464,4533,92,305,1,1,3,3,10,11,4,5,9,2,0,10,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,2,"W",20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",283,NA,10.25,NA,"IFN2",15,305,26,19930429,1993,10,284.7,13.8,11.9621848739496
"23",23,23,23,4899,"19_568",38856,26,134408.75,986.760647169751,26,NA,NA,134408.75,NA,NA,986.760647169751,NA,NA,12754.6771393845,5172.5356504866,13.440875,986.760647169751,0,509.295817894065,445.633840657307,31.8309886183791,0,0,0,0,0,12.9258064516129,5.24193548387097,13.1693069354955,5.625,1564,19,568,NA,930429,3,19,4,0,1,"S",930513,3,485,3,"0485214",466,4535,92,305,1,1,3,3,11,12,4,4,9,1,0,50,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,2,"W",17,NA,NA,NA,1,1,1,NA,1,4,2,0,NA,NA,"P204",281,NA,4.25,NA,"IFN2",20,305,26,19930429,1993,10,284.7,13.8,11.9621848739496
"24",24,24,24,4902,"19_578",38870,26,92929.5,668.45076098596,26,NA,NA,92929.5,NA,NA,668.45076098596,NA,NA,8368.36690777186,4615.49334966496,9.29295,668.45076098596,0,413.802852038928,127.323954473516,127.323954473516,0,0,0,0,0,12.5190476190476,6.9047619047619,13.3044568257622,9.375,1573,19,578,NA,930429,3,12,4,1,1,"S",930513,3,485,3,"0485216",470,4534,92,288,7,7,0,0,10,10,4,4,9,1,0,60,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,2,2,"W",19,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"G912",219,NA,5,NA,"IFN2",25,288,26,19930429,1993,10,284.7,13.8,11.9621848739496
"25",25,25,25,4903,"19_582",38875,26,222157.291666667,976.150317630291,26,NA,NA,222157.291666667,NA,NA,976.150317630291,NA,NA,15777.2063475252,8003.72524926576,22.2157291666667,976.150317630291,0,286.478897565412,190.985931710274,413.802852038928,84.8826363156775,0,0,0,0,16.1626811594203,8.19927536231884,17.0226431682857,9.93939393939394,1981,19,582,NA,930429,3,28,4,0,2,"S",930518,1,485,3,"0485216",471,4534,92,288,7,7,0,0,10,10,4,4,9,1,0,60,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,3,2,"W",20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,"01",372,NA,5.25,NA,"IFN2",20,288,26,19930429,1993,10,284.7,13.8,11.9621848739496
"26",26,26,26,4908,"19_591",38888,26,124857.5,314.773109670637,26,NA,NA,124857.5,NA,NA,314.773109670637,NA,NA,6252.31351995228,2509.34293608222,12.48575,314.773109670637,0,127.323954473516,0,31.8309886183791,70.7355302630646,42.4413181578388,28.2942121052258,14.1471060526129,0,19.8629213483146,7.97191011235955,22.4731300230677,10.75,1990,19,591,NA,930429,3,13,4,1,2,"S",930518,1,485,3,"0485218",476,4532,92,229,1,1,0,0,9,9,4,3,9,1,0,50,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,30,NA,NA,NA,NA,NA,NA,NA,NA,26,44,66,NA,NA,NA,NA,3,2,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,NA,"01",168,NA,3.5,NA,"IFN2",30,229,26,19930429,1993,10,284.7,13.8,11.9621848739496
"27",27,27,27,4909,"19_593",38891,26,360706.4375,1955.83741177374,26,NA,NA,360706.4375,NA,NA,1955.83741177374,NA,NA,29184.2419147608,15689.1406123477,36.07064375,1955.83741177374,0,636.619772367581,763.943726841098,555.273912565057,0,0,0,0,0,14.921609403255,8.02169981916817,15.3237702278644,10.1290322580645,1992,19,593,NA,930429,3,47,4,1,1,"S",930518,1,485,3,"0485172",476,4538,92,234,3,3,0,0,9,9,4,4,9,1,0,80,26,0,9,1,4,NA,25,NA,1,NA,4,NA,NA,NA,NA,NA,NA,26,1,2,25,25,1,2,20,NA,NA,NA,NA,26,25,45,NA,NA,NA,NA,3,3,"W",20,NA,NA,NA,1,1,2,NA,1,NA,3,4,NA,NA,"01",325,NA,7,NA,"IFN2",25,234,26,19930429,1993,10,284.7,13.8,11.9621848739496
"28",28,28,28,4917,"19_596",38897,26,233141.6875,1432.39448782706,26,NA,NA,233141.6875,NA,NA,1432.39448782706,NA,NA,19985.0862040493,8403.38099525207,23.31416875,1432.39448782706,0,636.619772367581,509.295817894065,286.478897565412,0,0,0,0,0,13.9522222222222,5.86666666666667,14.3957304627294,7.25,1995,19,596,NA,930429,3,30,4,2,1,"S",930518,1,485,3,"0485172",477,4538,92,262,3,3,0,0,10,10,4,4,9,1,0,70,26,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,26,45,NA,NA,NA,NA,NA,3,2,"W",20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,"M902",170,NA,5,NA,"IFN2",20,262,26,19930429,1993,10,284.7,13.8,11.9621848739496
